Ativo,Indexador_Benchmark,P_Valor_Serie_Bruta,P_Valor_Primeira_Diferenca,Estacionario_Serie_Bruta,Estacionario_Primeira_Diferenca
VDBF12,IPCA,0.8988,0.0000,False,True
VDEN12,IPCA,0.8667,0.0000,False,True
VIAL19,CDI_Spread,0.7462,0.0000,False,True
VIMT13,IPCA,0.5803,0.0000,False,True
VIXL14,CDI_Spread,0.9837,0.0856,False,False
VIXL15,CDI_Spread,0.9896,0.0000,False,True
VIXL25,CDI_Spread,0.9590,0.0000,False,True
VLID19,CDI_Spread,0.9719,0.0000,False,True
VLIM13,IPCA,0.7511,0.0000,False,True
VNYD12,IPCA,0.3871,0.0000,False,True
VP1E11,IPCA,0.8587,0.0000,False,True
VP2E11,IPCA,0.9107,0.0000,False,True
VPLT12,IPCA,0.8405,0.0000,False,True
VRDN12,IPCA,0.6092,0.0000,False,True
VSCL11,IPCA,0.7587,0.0000,False,True
VSEH11,IPCA,0.3698,0.0061,False,True
VSJH11,IPCA,0.9988,0.0213,False,True
VSUL11,CDI_Spread,0.9751,0.0000,False,True
VTSS11,IPCA,0.9957,0.0000,False,True
WDPR11,IPCA,0.0009,0.0000,True,True
WIZS11,CDI_Spread,0.2665,0.3583,False,False
XNGU17,IPCA,0.1930,0.0000,False,True
XPEN11,CDI_Spread,0.9778,0.0000,False,True
