Subconjunto_de_Variaveis,Quantidade_de_Variaveis,Silhouette_Score,Davies_Bouldin,CH_Score,CH_Score_Log,Borda_Score
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Expected_Shortfall_99, Spread_Range_Intraday, Spread_Skew_Intraday",6,0.9640,0.4605,52279.0320,10.8644,69.0000
"Taxa_ZScore, Volatilidade_EGARCH, Expected_Shortfall_99, Spread_Equivalente, Spread_Range_Intraday",5,0.9639,0.4609,52425.3673,10.8672,69.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Spread_Equivalente, Spread_Range_Intraday",5,0.9635,0.4610,52528.3875,10.8691,69.0000
"Taxa_ZScore, VaR_99",2,0.5749,0.7008,92031.9833,11.4299,64.0000
"Taxa_ZScore, VaR_99, Expected_Shortfall_99, Spread_Skew_Intraday",4,0.6610,0.7062,85829.0320,11.3601,64.0000
"Taxa_ZScore, Volatilidade_EGARCH, Expected_Shortfall_99, Spread_Equivalente, Spread_Range_Intraday, Spread_Skew_Intraday",6,0.9634,0.4611,52422.0955,10.8671,62.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Spread_Equivalente, Spread_Range_Intraday, Spread_Skew_Intraday",6,0.9630,0.4612,52525.1180,10.8691,62.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Expected_Shortfall_99, Spread_Equivalente, Spread_Range_Intraday",6,0.9633,0.4611,52257.6309,10.8640,57.0000
"Taxa_ZScore, VaR_99, Spread_Equivalente, Spread_Skew_Intraday",4,0.5291,0.7677,77618.7018,11.2596,53.0000
"Taxa_ZScore, Volatilidade_EGARCH, VaR_99, Expected_Shortfall_99, Spread_Equivalente, Spread_Range_Intraday, Spread_Skew_Intraday",7,0.9629,0.4612,52254.2883,10.8639,52.0000
"Taxa_ZScore, Expected_Shortfall_99, Spread_Equivalente",3,0.7101,0.5396,56661.9746,10.9449,52.0000
"Taxa_ZScore, VaR_99, Spread_Skew_Intraday",3,0.5084,0.8729,88125.7571,11.3865,52.0000
"Taxa_ZScore, VaR_99, Expected_Shortfall_99, Spread_Equivalente, Spread_Skew_Intraday",5,0.5217,0.7846,76742.4614,11.2482,48.0000
"Taxa_ZScore, Expected_Shortfall_99, Spread_Equivalente, Spread_Skew_Intraday",4,0.6793,0.5905,54325.8784,10.9028,45.0000
"Taxa_ZScore, Expected_Shortfall_99",2,0.5906,0.6616,57818.2871,10.9651,44.0000
"Taxa_ZScore, VaR_99, Expected_Shortfall_99",3,0.6150,0.6966,53745.5195,10.8920,40.0000
"Taxa_ZScore, Expected_Shortfall_99, Spread_Skew_Intraday",3,0.5219,0.8052,57367.4598,10.9572,33.0000
"Taxa_ZScore, Spread_Equivalente",2,0.5136,0.7950,16185.6149,9.6919,11.0000
"Taxa_ZScore, Spread_Skew_Intraday",2,0.3757,0.9332,16663.6379,9.7210,6.0000
"Taxa_ZScore, Spread_Equivalente, Spread_Skew_Intraday",3,0.4575,0.9339,11544.0197,9.3540,4.0000
