Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
IPCA,UTPS21,759,7.5900,26,0.0000,NÃO,0.9073,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,UTPS22,862,8.6200,10,0.6450,SIM,0.6278,SIM,0.7996,SIM,SIM,1,1,1,1
IPCA,VALE28,166,1.6600,14,0.0000,NÃO,0.1069,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VALE38,462,4.6200,22,0.0000,NÃO,0.1375,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VALE48,587,5.8700,24,0.0000,NÃO,0.1522,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VAMO33,790,7.9000,93,0.0000,NÃO,0.0078,NÃO,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VAMO34,852,8.5200,87,0.0000,NÃO,0.0003,NÃO,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VBRR11,823,8.2300,17,0.0072,NÃO,0.3968,SIM,0.0189,NÃO,NÃO,0,0,0,1
IPCA,VDBF12,181,1.8100,6,0.0135,NÃO,0.5200,SIM,0.0385,NÃO,NÃO,0,0,0,1
IPCA,VDEN12,321,3.2100,27,0.0000,NÃO,0.8852,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VIMT13,174,1.7400,20,0.0000,NÃO,0.2834,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VLIM13,801,8.0100,26,0.0000,NÃO,0.1862,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VNTT11,24,0.2400,2,0.0240,NÃO,0.6661,SIM,0.0713,SIM,SIM,0,0,1,1
IPCA,VNYD12,444,4.4400,0,0.0028,NÃO,,SIM,,SIM,SIM,0,0,0,0
IPCA,VP1E11,129,1.2900,9,0.0000,NÃO,0.0132,NÃO,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VP2E11,167,1.6700,5,0.0365,NÃO,0.5773,SIM,0.0961,SIM,SIM,0,0,1,1
IPCA,VPLT12,620,6.2000,34,0.0000,NÃO,0.0467,NÃO,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VRDN12,824,8.2400,11,0.3580,SIM,0.5851,SIM,0.5647,SIM,SIM,1,1,1,1
IPCA,VSCL11,442,4.4200,1,0.0484,NÃO,0.9462,SIM,0.1424,SIM,SIM,0,1,1,1
IPCA,VSEH11,150,1.5000,0,0.0825,SIM,,SIM,,SIM,SIM,1,0,0,0
IPCA,VSJH11,127,1.2700,11,0.0000,NÃO,0.1466,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,VTSS11,46,0.4600,23,0.0000,NÃO,0.4574,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,WDPR11,135,1.3500,12,0.0000,NÃO,0.1241,SIM,0.0000,NÃO,NÃO,0,0,0,0
IPCA,XNGU17,271,2.7100,9,0.0025,NÃO,0.4307,SIM,0.0075,NÃO,NÃO,0,0,0,0
PRE,AEGPA0,837,8.3700,92,0.0000,NÃO,0.0041,NÃO,0.0000,NÃO,NÃO,0,0,0,0
